N,level,z,Jhat,sigma,se,halfwidth,lo,hi
3.200000000000000000e+01,9.000000000000000222e-01,1.644853626951471970e+00,8.203293479693295892e-03,5.173462805485831012e-03,9.145476579938529096e-04,1.504297032271163315e-03,6.698996447422132794e-03,9.707590511964458990e-03
3.200000000000000000e+01,9.499999999999999556e-01,1.959963984540054049e+00,8.203293479693295892e-03,5.173462805485831012e-03,9.145476579938529096e-04,1.792480471813406645e-03,6.410813007879889031e-03,9.995773951506702754e-03
3.200000000000000000e+01,9.899999999999999911e-01,2.575829303548900384e+00,8.203293479693295892e-03,5.173462805485831012e-03,9.145476579938529096e-04,2.355718656952584047e-03,5.847574822740711845e-03,1.055901213664587994e-02
6.400000000000000000e+01,9.000000000000000222e-01,1.644853626951471970e+00,8.474042049576829827e-03,5.085326158601224424e-03,6.356657698251530529e-04,1.045577147025802565e-03,7.428464902551027045e-03,9.519619196602631742e-03
6.400000000000000000e+01,9.499999999999999556e-01,1.959963984540054049e+00,8.474042049576829827e-03,5.085326158601224424e-03,6.356657698251530529e-04,1.245882015062227746e-03,7.228160034514602081e-03,9.719924064639057573e-03
6.400000000000000000e+01,9.899999999999999911e-01,2.575829303548900384e+00,8.474042049576829827e-03,5.085326158601224424e-03,6.356657698251530529e-04,1.637366517178599551e-03,6.836675532398230060e-03,1.011140856675542959e-02
1.280000000000000000e+02,9.000000000000000222e-01,1.644853626951471970e+00,8.518175379404165429e-03,5.122442562595169724e-03,4.527642340312050366e-04,7.447308925001326976e-04,7.773444486904032731e-03,9.262906271904298994e-03
1.280000000000000000e+02,9.499999999999999556e-01,1.959963984540054049e+00,8.518175379404165429e-03,5.122442562595169724e-03,4.527642340312050366e-04,8.874015921890261250e-04,7.630773787215138979e-03,9.405576971593191879e-03
1.280000000000000000e+02,9.899999999999999911e-01,2.575829303548900384e+00,8.518175379404165429e-03,5.122442562595169724e-03,4.527642340312050366e-04,1.166243381616450213e-03,7.351931997787715216e-03,9.684418761020614774e-03
