N,level,z,Jhat,sigma,se,halfwidth,lo,hi
3.200000000000000000e+01,9.000000000000000222e-01,1.644853626951471970e+00,8.203293479693295892e-03,3.035664237801577892e-03,5.366346919887469286e-04,8.826855194656764436e-04,7.320607960227619448e-03,9.085978999158972336e-03
3.200000000000000000e+01,9.499999999999999556e-01,1.959963984540054049e+00,8.203293479693295892e-03,3.035664237801577892e-03,5.366346919887469286e-04,1.051784669152689040e-03,7.151508810540606852e-03,9.255078148845984065e-03
3.200000000000000000e+01,9.899999999999999911e-01,2.575829303548900384e+00,8.203293479693295892e-03,3.035664237801577892e-03,5.366346919887469286e-04,1.382279364925552596e-03,6.821014114767743296e-03,9.585572844618847621e-03
6.400000000000000000e+01,9.000000000000000222e-01,1.644853626951471970e+00,8.474042049576829827e-03,2.443837907793571570e-03,3.054797384741964462e-04,5.024694557894691721e-04,7.971572593787360980e-03,8.976511505366298674e-03
6.400000000000000000e+01,9.499999999999999556e-01,1.959963984540054049e+00,8.474042049576829827e-03,2.443837907793571570e-03,3.054797384741964462e-04,5.987292854161397173e-04,7.875312764160690218e-03,9.072771334992969436e-03
6.400000000000000000e+01,9.899999999999999911e-01,2.575829303548900384e+00,8.474042049576829827e-03,2.443837907793571570e-03,3.054797384741964462e-04,7.868636620022896339e-04,7.687178387574540410e-03,9.260905711579120111e-03
1.280000000000000000e+02,9.000000000000000222e-01,1.644853626951471970e+00,8.518175379404165429e-03,2.376206041003628075e-03,2.100289256362630752e-04,3.454668400975283290e-04,8.172708539306636558e-03,8.863642219501694300e-03
1.280000000000000000e+02,9.499999999999999556e-01,1.959963984540054049e+00,8.518175379404165429e-03,2.376206041003628075e-03,2.100289256362630752e-04,4.116491299587168992e-04,8.106526249445447987e-03,8.929824509362882870e-03
1.280000000000000000e+02,9.899999999999999911e-01,2.575829303548900384e+00,8.518175379404165429e-03,2.376206041003628075e-03,2.100289256362630752e-04,5.409986612467793370e-04,7.977176718157386742e-03,9.059174040650944115e-03
