F
4.090919500996339185e-03
4.483603995219552669e-03
3.574836152692154566e-03
2.094933371578884627e-03
3.771626726591119881e-03
3.669612503955591715e-03
6.423467765645047775e-03
2.069294347482721584e-03
4.131311645524914263e-03
3.740474622047624056e-03
1.559145987844284516e-03
3.332492560922996252e-03
2.158765108964750840e-03
2.617927788055848370e-03
2.255352256600840367e-03
3.155132706275860441e-03
3.730617231213516089e-03
1.653591627241099427e-02
3.565768155354106725e-03
3.369214733023348767e-03
2.828162475353859090e-03
3.655213208300329714e-03
3.309660294316273035e-03
3.339062835254439678e-03
3.299693851690009994e-03
1.489332420129803889e-03
3.083400841628621859e-03
4.345873801935571865e-03
3.685355689158717040e-03
3.654823534770008844e-03
2.551435890319332482e-03
4.089241481395354538e-03
3.883995464406000096e-03
3.791629368951279604e-03
3.475595853139391324e-03
4.477295879486904370e-03
9.971655138849760958e-03
3.404953846812001656e-03
3.196818500722663561e-03
2.228311662630658857e-03
2.590208055559282962e-03
3.134401478112354162e-03
3.996310367934417622e-03
3.675197086881824924e-03
2.118043476255946581e-03
2.974544430172656150e-03
1.398821568090571899e-02
3.816653234797444220e-03
3.659876026705710401e-03
3.550840595735136988e-03
2.425276558937984519e-03
3.755605542890003319e-03
4.111958816062481238e-03
3.508228023151871433e-03
1.663780933722611068e-03
3.538257184834178292e-03
4.470187068663505903e-03
3.687142025730782979e-03
3.310557367535456926e-03
2.090666726756899158e-03
1.187886139326676908e-02
3.306627238772666920e-03
4.427104147855084361e-03
3.737888801491467353e-03
9.320660454642673912e-03
2.012110180216507196e-03
2.269963260335905453e-03
1.696179380053636915e-03
3.739398226578077161e-03
3.264642241052185916e-03
3.271288606311267919e-03
3.600350832498796019e-03
3.422861355855225194e-03
2.998813980415168234e-03
3.158596207663416904e-03
3.513689313956291482e-03
4.333162154267510870e-03
1.873214154225156950e-03
6.599598329673663291e-03
4.248388098563962191e-03
3.181342235880063075e-03
2.700376542438942713e-03
3.236785084621967689e-03
2.964185236147413947e-03
2.017650292798287524e-03
3.731406198716362855e-03
3.496192540279947046e-03
2.076152848040079945e-03
1.714928080840984193e-03
2.213203152365775337e-03
3.173294495756459003e-03
6.874377948110625691e-03
3.628251620322351517e-03
1.819718127287196525e-03
4.098096563199309962e-03
3.506592019967922497e-03
4.159306598568819277e-03
3.997331521965961573e-03
3.661797920168018226e-03
8.124257906737344243e-03
3.737616519341225001e-03
1.230335699462434956e-02
4.617296802443395486e-03
4.878549551629370908e-03
6.731274442131445802e-03
5.840232062600720503e-03
3.680168974272160498e-03
3.125149625487367005e-03
4.343987428613344144e-03
3.451464269266484985e-03
3.142450141387318277e-03
9.089143357991623373e-03
3.591061811219285315e-03
3.541661101551143997e-03
2.061257268636145813e-03
3.965663141719411727e-03
4.470083167260685032e-03
4.270247525295416992e-03
2.037586258651715582e-03
1.890777063003133912e-03
3.153333801680945504e-03
3.949438585193826984e-03
4.461309769304521236e-03
2.384774445433603292e-03
2.030102201389266583e-03
4.042712427168017493e-03
4.420578564334541431e-03
4.076423313942268908e-03
