N,level,z,Jhat,sigma,se,halfwidth,lo,hi
3.200000000000000000e+01,9.000000000000000222e-01,1.644853626951471970e+00,8.203293479693295892e-03,3.759458273833208089e-03,6.645846097538334355e-04,1.093144405769721529e-03,7.110149073923574363e-03,9.296437885463016554e-03
3.200000000000000000e+01,9.499999999999999556e-01,1.959963984540054049e+00,8.203293479693295892e-03,3.759458273833208089e-03,6.645846097538334355e-04,1.302561899797120316e-03,6.900731579896175576e-03,9.505855379490415341e-03
3.200000000000000000e+01,9.899999999999999911e-01,2.575829303548900384e+00,8.203293479693295892e-03,3.759458273833208089e-03,6.645846097538334355e-04,1.711856512491534551e-03,6.491436967201761124e-03,9.915149992184830660e-03
6.400000000000000000e+01,9.000000000000000222e-01,1.644853626951471970e+00,8.474042049576829827e-03,2.643173594156277093e-03,3.303966992695346367e-04,5.434542091262888411e-04,7.930587840450541853e-03,9.017496258703117801e-03
6.400000000000000000e+01,9.499999999999999556e-01,1.959963984540054049e+00,8.474042049576829827e-03,2.643173594156277093e-03,3.303966992695346367e-04,6.475656311791990871e-04,7.826476418397631390e-03,9.121607680756028264e-03
6.400000000000000000e+01,9.899999999999999911e-01,2.575829303548900384e+00,8.474042049576829827e-03,2.643173594156277093e-03,3.303966992695346367e-04,8.510454997743008634e-04,7.622996549802528964e-03,9.325087549351129823e-03
1.280000000000000000e+02,9.000000000000000222e-01,1.644853626951471970e+00,8.518175379404165429e-03,2.719193430533009808e-03,2.403450142609752846e-04,3.953323684268684698e-04,8.122843010977296579e-03,8.913507747831034278e-03
1.280000000000000000e+02,9.499999999999999556e-01,1.959963984540054049e+00,8.518175379404165429e-03,2.719193430533009808e-03,2.403450142609752846e-04,4.710675718152772381e-04,8.047107807588887649e-03,8.989242951219443209e-03
1.280000000000000000e+02,9.899999999999999911e-01,2.575829303548900384e+00,8.518175379404165429e-03,2.719193430533009808e-03,2.403450142609752846e-04,6.190877306952984743e-04,7.899087648708866954e-03,9.137263110099463903e-03
