sqrtN_dJ_N32,sqrtN_dJ_N64,sqrtN_dJ_N128
-1.315165976428599517e-03,6.397386571621171969e-04,-3.705293552907484682e-03
-1.300428933842110368e-03,-1.372013746318928584e-03,1.995627401231167032e-03
-7.277015212545652478e-03,-2.665622901291686553e-04,-4.336108339135279297e-04
-1.446340368909200882e-03,-1.499159599817195820e-04,5.652264242695713512e-04
8.708254314389054195e-04,-1.283695071176052527e-03,2.240305370213223353e-06
-2.402941698198380206e-03,2.338562028960336492e-03,1.374907259013361405e-03
-3.714499561584753973e-03,-2.057221835044475977e-03,-2.649001907973212461e-03
-2.383334904607311774e-03,3.391353922323259162e-03,-2.880939465547785114e-03
-5.112511717046481412e-05,-1.319427802346700984e-03,-2.022872011835171943e-03
7.324605202609145264e-05,-2.540241392487943561e-03,1.639069860469778272e-03
4.580808856933589641e-04,2.718614098934854506e-03,-7.473927525773874092e-03
-3.776277711776729763e-03,2.883337053752321744e-04,-1.274751911195225358e-03
-9.087879893741376142e-03,1.301914201977671937e-04,2.009815789040994300e-03
1.601393741375589175e-03,-6.313753369128205506e-04,8.827201673198154788e-04
9.625168691519603217e-04,-2.455721316738671001e-03,9.107957252698088875e-04
-3.098158941874781021e-03,-7.522118599701949071e-04,2.325781897807516121e-03
1.927202687808409224e-03,-5.947388293462391173e-03,-1.342668504433914547e-03
-7.690544083582270991e-03,-2.364464420955725288e-03,-1.712152455446909992e-03
-1.844082918247940068e-03,1.728501787367775488e-04,3.460080598454934406e-03
-1.418190924675786189e-03,4.226656532520356446e-03,-2.622903016641961026e-03
-2.979060802838507001e-03,-2.860264655012545454e-03,-1.167665100752863540e-03
2.156066638877655092e-03,1.863785465048561907e-04,4.056007907442592351e-04
-3.575946647613685971e-04,-8.491414371378222525e-03,4.707565507794901107e-03
-2.588348423142059016e-03,-6.177733313914288149e-03,1.861472847160085058e-04
1.955398081324923043e-03,2.645580351214954495e-03,-5.362851603497771798e-03
-1.631803455833568620e-03,-1.814717211362323890e-03,2.154497796305439566e-03
-5.855883492887381178e-03,-2.910916886618292176e-03,1.176417082257104471e-03
-1.202647751836814858e-04,-3.540104850740702358e-03,-2.741369757042130383e-03
7.600122658531724982e-04,-5.045846505366560764e-03,3.613259165946263417e-03
-2.348719020137721766e-03,-1.838130550717020917e-03,-2.423041961235348606e-03
-5.038298724086628412e-03,-1.850737577610866991e-03,2.517425675416573908e-04
-6.173796273243129136e-03,3.786426963990618955e-03,-3.220363639991256997e-03
3.600942427979700279e-04,-2.042327381437974987e-03,-4.314464880794179405e-03
-3.269736146607592903e-03,-7.415925089911401535e-04,-2.410512564775337246e-03
-6.644413660639205722e-03,1.042627430322157212e-03,1.672540895099425924e-03
-2.678774409188499576e-04,-3.206529806932811866e-04,5.115131328493617265e-04
5.521537027175975419e-04,1.666189957195182703e-03,-5.685785864654399786e-03
-9.008900595805155453e-05,-2.654145557495143914e-03,-2.936420523044213650e-04
-4.832839180606710375e-04,-9.646578651952980588e-04,1.735071548542736980e-03
-4.890218073218262178e-03,-9.191514700565561746e-04,1.605753714021915289e-03
-6.398990277732045061e-03,-6.006447469371761771e-04,-2.122076667192275036e-03
-8.205919282042222146e-04,-1.395353647897404348e-03,2.124863070085884417e-03
-2.124563994753754948e-03,-3.581209365388887678e-03,-1.654538889520602244e-03
-2.554657529443206832e-03,8.189300619457634545e-04,-6.297356804071439253e-03
